28;FK Mladá Boleslav;SK Dynamo Èeské Budìjovice
28;FC Baník Ostrava;FC Hradec Králové
28;SK Sigma Olomouc;FC Viktoria Plzeò
28;SK Slavia Praha;FK Pardubice
28;1. FC Slovácko;MFD OKD Karviná
28;FK Teplice;AC Sparta Praha
29;SK Dynamo Èeské Budìjovice;Bohemians Praha 1905
29;FC Hradec Králové;SK Sigma Olomouc
29;FK Jablonec;SK Slavia Praha
29;FC Slovan Liberec;MFD OKD Karviná
29;FK Pardubice;FK Teplice
29;FC Viktoria Plzeò;FC Baník Ostrava
29;AC Sparta Praha;1. FC Slovácko
29;Fastav Zlín;FK Mladá Boleslav
30;Bohemians Praha 1905;FC Hradec Králové
30;MFD OKD Karviná;FK Pardubice
30;FK Mladá Boleslav;FC Viktoria Plzeò
30;FC Baník Ostrava;FK Jablonec
30;SK Sigma Olomouc;AC Sparta Praha
30;SK Slavia Praha;Fastav Zlín
30;1. FC Slovácko;FC Slovan Liberec
30;FK Teplice;SK Dynamo Èeské Budìjovice
